District,Crop,Soil,Area_Hectares,Motor_HP,Total_Liters_Used,Irrigation_Hours
Sukkur,Cotton,Sandy,6.46,10.0,9745019.78,86.27
Faisalabad,Rice,Clay,13.2,10.0,16585150.95,358.04
Sukkur,Maize,Sandy,1.19,5.0,1925075.07,36.21
Sukkur,Wheat,Sandy,3.18,50.0,6342162.06,11.93
Multan,Cotton,Clay,1.86,25.0,1652427.2,9.47
Multan,Cotton,Clay,19.47,10.0,15566279.49,225.29
Faisalabad,Cotton,Clay,3.13,5.0,3437110.52,141.62
Bahawalpur,Sugarcane,Loam,15.35,40.0,26120057.31,169.54
Sukkur,Maize,Sandy,18.12,20.0,28508848.19,128.61
Sukkur,Sugarcane,Loam,11.63,15.0,13567014.07,84.56
Sargodha,Cotton,Loam,4.61,10.0,5296992.41,56.18
Lahore,Maize,Clay,6.29,30.0,6416278.26,51.65
Multan,Maize,Sandy,17.25,7.5,25622063.68,472.15
Sukkur,Cotton,Clay,17.41,30.0,20560356.81,61.86
Sukkur,Wheat,Sandy,11.03,10.0,15920008.98,149.97
Sukkur,Wheat,Loam,8.16,7.5,9410500.37,114.63
Multan,Sugarcane,Loam,11.59,15.0,17148318.53,172.83
Hyderabad,Sugarcane,Clay,10.38,5.0,10853128.15,153.34
Hyderabad,Maize,Loam,13.06,5.0,10018454.88,151.58
Hyderabad,Sugarcane,Loam,4.7,10.0,5691291.77,42.15
Lahore,Cotton,Sandy,16.26,25.0,24178599.92,221.97
Bahawalpur,Rice,Clay,13.98,30.0,18227341.07,168.84
Sargodha,Sugarcane,Loam,2.55,30.0,3456113.51,11.88
Bahawalpur,Cotton,Loam,6.23,20.0,8735566.5,115.76
Lahore,Wheat,Sandy,7.51,10.0,10989167.07,271.32
Multan,Sugarcane,Loam,15.04,10.0,19892739.91,290.13
Bahawalpur,Sugarcane,Loam,12.08,20.0,15932774.61,205.53
Hyderabad,Rice,Clay,1.9,5.0,2110113.7,31.7
Sargodha,Sugarcane,Sandy,11.43,15.0,24352382.55,173.94
Hyderabad,Wheat,Clay,2.94,25.0,3192034.04,8.79
Sargodha,Rice,Clay,9.44,20.0,11232990.11,58.94
Faisalabad,Cotton,Sandy,14.03,40.0,26620307.35,141.86
Multan,Maize,Clay,4.85,10.0,4629204.7,67.27
Faisalabad,Sugarcane,Loam,2.41,7.5,2930023.02,82.68
Faisalabad,Sugarcane,Clay,4.81,50.0,6293947.99,28.05
Sargodha,Wheat,Loam,8.7,30.0,7637549.26,26.29
Lahore,Wheat,Loam,7.16,25.0,6616683.03,65.1
Sukkur,Sugarcane,Clay,8.91,25.0,8855713.19,33.64
Sukkur,Maize,Sandy,8.91,20.0,10362373.12,48.12
Sargodha,Sugarcane,Sandy,12.43,40.0,22166079.71,58.5
Sukkur,Rice,Clay,7.42,25.0,7130978.53,26.53
Sargodha,Cotton,Clay,8.15,25.0,9872961.55,43.76
Multan,Maize,Clay,18.52,7.5,15017482.95,290.4
Sukkur,Sugarcane,Loam,14.0,40.0,17740288.85,41.43
Hyderabad,Rice,Loam,9.57,20.0,14048523.75,53.04
Lahore,Wheat,Sandy,2.62,7.5,4967913.56,150.47
Faisalabad,Sugarcane,Loam,15.25,15.0,19663627.91,278.81
Lahore,Maize,Sandy,10.07,40.0,11682907.19,67.11
Lahore,Maize,Sandy,16.13,15.0,22808609.14,357.48
Faisalabad,Cotton,Sandy,8.79,40.0,15595727.16,83.09
Hyderabad,Cotton,Clay,19.17,40.0,16884215.68,31.59
Hyderabad,Rice,Sandy,7.23,10.0,16450782.41,117.97
Hyderabad,Sugarcane,Loam,13.74,40.0,19219141.94,34.9
Faisalabad,Sugarcane,Clay,13.59,15.0,15613221.67,218.15
Hyderabad,Sugarcane,Clay,11.66,50.0,10200419.07,14.54
Hyderabad,Maize,Loam,16.46,5.0,17139422.71,237.22
Sargodha,Sugarcane,Loam,17.59,40.0,25342924.65,66.08
Faisalabad,Sugarcane,Sandy,3.64,10.0,7432153.51,160.13
Lahore,Rice,Loam,6.1,10.0,9982016.46,235.23
Sargodha,Cotton,Loam,15.12,25.0,14841170.35,65.22
Hyderabad,Cotton,Sandy,7.28,10.0,8101471.1,57.05
Hyderabad,Cotton,Loam,8.99,10.0,7566136.93,52.11
Faisalabad,Rice,Clay,8.07,25.0,7715170.33,67.72
Bahawalpur,Cotton,Sandy,5.88,25.0,10158782.37,108.13
Sukkur,Rice,Clay,11.94,10.0,12116573.78,109.47
Multan,Wheat,Loam,16.13,40.0,15648172.31,55.91
Sukkur,Rice,Loam,6.97,50.0,10091838.5,19.14
Sargodha,Sugarcane,Sandy,7.0,20.0,11378562.59,62.26
Bahawalpur,Cotton,Loam,5.0,25.0,5051516.47,56.41
Hyderabad,Cotton,Sandy,10.59,25.0,20875116.98,61.2
Sukkur,Rice,Clay,12.85,7.5,13792719.02,166.4
Sukkur,Maize,Loam,6.55,30.0,5453686.86,15.55
Hyderabad,Maize,Loam,5.21,30.0,5500671.82,13.48
Bahawalpur,Wheat,Loam,8.8,5.0,11142809.67,599.88
Bahawalpur,Rice,Clay,6.01,5.0,8606972.46,451.7
Faisalabad,Wheat,Sandy,15.51,25.0,25810298.95,229.85
Lahore,Cotton,Clay,4.13,50.0,4716681.11,21.78
Faisalabad,Rice,Sandy,7.23,30.0,12508579.0,89.31
Sargodha,Sugarcane,Clay,10.19,40.0,11055182.23,28.47
Sukkur,Maize,Clay,2.96,15.0,2344938.39,13.58
Multan,Cotton,Clay,11.79,5.0,11921245.44,345.18
Sargodha,Sugarcane,Loam,15.31,20.0,18006348.74,96.6
Faisalabad,Rice,Sandy,7.72,15.0,18864437.03,259.83
Bahawalpur,Rice,Loam,3.16,15.0,4260031.72,76.59
Hyderabad,Maize,Loam,1.64,10.0,1315555.53,9.36
Sukkur,Maize,Sandy,11.64,30.0,15794506.14,45.09
Sukkur,Rice,Loam,9.81,15.0,13845034.21,79.83
Multan,Cotton,Clay,5.26,50.0,3724891.97,10.76
Sargodha,Maize,Sandy,8.96,7.5,13467059.74,196.59
Hyderabad,Cotton,Loam,4.03,15.0,5527052.68,25.29
Lahore,Sugarcane,Sandy,9.82,10.0,18325861.26,449.58
Sukkur,Rice,Clay,12.02,40.0,15009105.91,35.08
Bahawalpur,Sugarcane,Loam,14.18,5.0,21622871.44,1200.19
Faisalabad,Sugarcane,Loam,8.43,10.0,8642383.58,189.5
Sargodha,Sugarcane,Sandy,10.39,10.0,22992708.81,241.23
Lahore,Maize,Clay,18.16,40.0,13874789.96,80.69
Faisalabad,Wheat,Loam,17.58,30.0,21703199.65,155.8
Faisalabad,Rice,Sandy,15.9,50.0,27551950.46,119.76
Bahawalpur,Maize,Sandy,7.36,20.0,8473074.16,119.87
Hyderabad,Rice,Loam,6.01,50.0,7672328.93,11.21
Faisalabad,Sugarcane,Loam,5.67,50.0,7854893.29,33.63
Hyderabad,Sugarcane,Loam,11.66,7.5,12555985.56,127.23
Sargodha,Cotton,Clay,12.55,50.0,12522449.07,27.57
Bahawalpur,Rice,Sandy,16.47,20.0,40408891.87,529.97
Bahawalpur,Wheat,Loam,19.0,15.0,22390151.69,383.12
Multan,Maize,Sandy,9.55,40.0,8613817.83,32.56
Faisalabad,Rice,Clay,6.31,7.5,7558920.64,211.09
Sargodha,Maize,Sandy,19.14,15.0,27169255.0,205.85
Multan,Wheat,Sandy,1.86,10.0,2655480.57,39.89
Multan,Maize,Clay,16.39,30.0,9829996.5,44.92
Lahore,Sugarcane,Sandy,7.66,20.0,13718867.06,161.39
Faisalabad,Wheat,Clay,2.44,20.0,2090105.47,23.65
Hyderabad,Cotton,Loam,19.93,30.0,18687884.87,47.07
Hyderabad,Cotton,Loam,15.72,20.0,16461779.66,59.23
Faisalabad,Wheat,Sandy,16.11,25.0,22925135.31,201.76
Lahore,Rice,Clay,11.84,15.0,12726086.12,189.4
Bahawalpur,Rice,Loam,15.73,10.0,18857965.5,492.29
Lahore,Rice,Sandy,16.27,10.0,29165131.61,677.99
Lahore,Rice,Loam,19.76,20.0,30110634.05,352.07
Faisalabad,Cotton,Sandy,13.25,25.0,18627844.31,162.56
Multan,Cotton,Sandy,10.38,25.0,15895695.77,88.71
Sargodha,Sugarcane,Loam,1.07,10.0,1412440.44,14.65
Faisalabad,Cotton,Sandy,9.74,7.5,15711811.61,443.83
Hyderabad,Maize,Sandy,12.64,50.0,16022264.03,23.49
Lahore,Wheat,Sandy,11.57,5.0,19532185.17,923.29
Hyderabad,Wheat,Loam,15.38,20.0,23316828.7,82.76
Lahore,Cotton,Loam,7.72,20.0,8770439.07,107.91
Faisalabad,Sugarcane,Loam,14.77,5.0,15254423.15,653.26
Sargodha,Wheat,Loam,12.51,50.0,15577897.31,33.23
Lahore,Sugarcane,Clay,10.98,25.0,10169661.21,99.42
Multan,Wheat,Sandy,17.46,20.0,25435050.18,176.25
Multan,Sugarcane,Loam,11.1,15.0,11875141.31,117.46
Lahore,Cotton,Loam,11.7,40.0,14452922.64,81.77
Hyderabad,Sugarcane,Loam,18.86,30.0,27161704.84,62.11
Lahore,Rice,Clay,10.57,30.0,11267872.87,91.26
Sukkur,Sugarcane,Clay,2.08,15.0,2270977.28,14.21
Faisalabad,Maize,Sandy,14.23,5.0,13024299.47,552.35
Hyderabad,Sugarcane,Clay,3.59,25.0,3725049.28,10.63
Lahore,Sugarcane,Clay,11.13,20.0,12144875.99,142.65
Hyderabad,Wheat,Sandy,12.19,30.0,14038935.68,34.7
Multan,Rice,Loam,17.03,40.0,25783399.51,95.62
Faisalabad,Cotton,Clay,4.36,20.0,5120965.47,56.21
Faisalabad,Maize,Clay,18.62,5.0,15657282.64,681.33
Faisalabad,Wheat,Loam,7.51,7.5,8013066.89,239.66
Bahawalpur,Maize,Loam,16.34,5.0,14012174.07,728.18
Sargodha,Rice,Clay,5.09,20.0,5055509.81,26.24
Bahawalpur,Maize,Sandy,6.31,5.0,9222893.05,523.19
Multan,Wheat,Sandy,18.98,20.0,20389854.39,141.7
Lahore,Sugarcane,Sandy,4.33,10.0,7760154.35,189.08
Sukkur,Wheat,Loam,8.93,5.0,9194128.96,172.04
Hyderabad,Wheat,Sandy,3.9,10.0,5055268.69,37.9
Sukkur,Rice,Sandy,6.11,7.5,12129835.97,144.19
Multan,Cotton,Loam,9.62,7.5,10632183.49,213.27
Sargodha,Wheat,Clay,5.9,7.5,4583266.79,68.86
Lahore,Rice,Loam,19.87,50.0,27488586.86,126.63
Sukkur,Wheat,Loam,6.28,20.0,8810617.49,40.59
Hyderabad,Rice,Clay,13.35,10.0,17487614.71,131.76
Hyderabad,Cotton,Loam,3.9,50.0,4549829.64,6.9
Multan,Cotton,Sandy,19.47,7.5,24537903.26,479.31
Sargodha,Wheat,Loam,9.46,50.0,10001032.27,22.62
Sargodha,Sugarcane,Loam,10.3,30.0,12497051.08,42.97
Hyderabad,Cotton,Sandy,17.15,15.0,24013903.8,116.96
Multan,Sugarcane,Sandy,2.94,5.0,6103242.6,178.46
Hyderabad,Rice,Loam,1.63,30.0,2212514.54,5.4
Lahore,Maize,Loam,2.31,10.0,2449099.05,59.3
Faisalabad,Maize,Clay,19.48,25.0,18769824.07,168.82
Lahore,Maize,Loam,16.04,30.0,14406350.46,117.78
Multan,Wheat,Clay,11.56,30.0,8279749.12,40.04
Multan,Rice,Clay,1.01,20.0,1181664.29,8.75
Faisalabad,Rice,Loam,2.2,10.0,3318340.77,73.46
Sargodha,Sugarcane,Loam,16.13,30.0,21362334.3,76.11
Sargodha,Sugarcane,Loam,12.61,15.0,13857274.11,101.45
Faisalabad,Wheat,Sandy,14.6,20.0,18311081.79,198.83
Bahawalpur,Wheat,Clay,17.6,40.0,19181967.61,132.62
Lahore,Sugarcane,Sandy,1.03,10.0,1712773.85,42.31
Sargodha,Sugarcane,Loam,7.54,50.0,10058768.56,21.2
Sargodha,Wheat,Loam,9.06,30.0,10497356.43,38.78
Sukkur,Cotton,Sandy,6.48,50.0,7957866.64,13.88
Sukkur,Sugarcane,Clay,14.87,40.0,13252449.02,31.08
Hyderabad,Sugarcane,Sandy,15.38,15.0,26098596.34,122.33
Sukkur,Cotton,Sandy,7.09,20.0,11148660.28,51.1
Bahawalpur,Rice,Clay,10.68,40.0,12087910.34,81.84
Sargodha,Sugarcane,Clay,9.47,20.0,7859337.57,44.27
Faisalabad,Wheat,Sandy,2.03,10.0,2570077.82,54.24
Sukkur,Sugarcane,Clay,2.04,7.5,2377138.18,28.83
Faisalabad,Rice,Clay,10.69,25.0,10687069.19,93.32
Multan,Wheat,Sandy,3.6,15.0,5718344.2,55.62
Hyderabad,Cotton,Loam,13.69,10.0,14208028.61,101.71
Sukkur,Rice,Clay,15.53,5.0,18171398.68,319.68
Sukkur,Sugarcane,Loam,14.04,30.0,14681284.74,43.45
Hyderabad,Maize,Loam,2.88,25.0,3245053.19,9.05
Bahawalpur,Sugarcane,Loam,7.71,20.0,8362271.52,112.25
Faisalabad,Maize,Loam,4.5,25.0,4580034.52,41.73
Bahawalpur,Maize,Loam,8.57,5.0,7865632.28,426.92
Sukkur,Wheat,Sandy,14.75,40.0,23203893.23,50.17
Hyderabad,Cotton,Sandy,14.07,25.0,18501557.48,53.19
Bahawalpur,Rice,Sandy,4.19,30.0,9032973.2,85.19
Sukkur,Cotton,Clay,11.94,40.0,11325729.0,24.46
Sukkur,Sugarcane,Clay,6.66,50.0,8112444.3,14.96
Sargodha,Sugarcane,Sandy,3.14,40.0,4888979.91,13.4
Multan,Cotton,Sandy,6.31,20.0,11496517.21,84.89
Sukkur,Rice,Clay,1.42,15.0,1728587.38,10.66
Multan,Rice,Sandy,1.04,5.0,1974865.84,55.71
Bahawalpur,Cotton,Sandy,3.73,50.0,5200631.74,27.83
Sargodha,Cotton,Clay,10.33,20.0,11196375.63,62.81
Sukkur,Maize,Loam,4.35,40.0,4813946.41,10.95
Sargodha,Cotton,Loam,9.97,40.0,10773494.23,29.54
Sukkur,Wheat,Clay,9.06,40.0,8339326.21,19.3
Multan,Cotton,Sandy,13.55,10.0,21415079.48,294.6
Lahore,Wheat,Clay,17.51,50.0,14283515.88,63.58
Sargodha,Wheat,Sandy,15.64,5.0,25248005.82,575.59
Sargodha,Maize,Sandy,12.79,50.0,17323860.49,38.08
Bahawalpur,Cotton,Clay,3.91,25.0,3546339.99,38.89
Faisalabad,Cotton,Clay,3.74,10.0,3774144.18,79.2
Multan,Rice,Sandy,17.55,10.0,37086706.46,512.76
Lahore,Rice,Clay,4.62,10.0,5303987.18,118.49
Faisalabad,Wheat,Clay,6.81,30.0,5756932.47,40.4
Hyderabad,Cotton,Loam,9.51,10.0,14197868.1,106.19
Sukkur,Wheat,Clay,10.69,30.0,10754400.55,30.93
Hyderabad,Maize,Loam,17.29,50.0,15488751.2,22.14
Hyderabad,Wheat,Loam,8.48,5.0,8361526.65,121.88
Sukkur,Cotton,Sandy,1.06,30.0,1996410.38,6.2
Bahawalpur,Rice,Sandy,5.36,50.0,10860918.75,60.9
Lahore,Cotton,Loam,7.13,25.0,7028459.73,65.77
Lahore,Wheat,Clay,17.19,10.0,14927548.23,365.58
Multan,Maize,Clay,6.34,15.0,4650484.65,42.68
Lahore,Maize,Clay,16.94,7.5,15956617.95,505.67
Faisalabad,Rice,Clay,10.33,40.0,13745342.86,77.29
Sukkur,Maize,Clay,5.15,5.0,4615484.79,86.86
Sargodha,Cotton,Clay,13.43,15.0,10687892.36,80.54
Multan,Rice,Loam,8.21,25.0,12478783.04,72.69
Sukkur,Maize,Sandy,11.63,7.5,14436201.52,169.37
Multan,Sugarcane,Loam,17.78,25.0,17630461.46,98.52
Faisalabad,Rice,Loam,16.07,10.0,26883160.39,586.24
Sargodha,Wheat,Sandy,18.72,50.0,22611479.88,48.75
Sukkur,Rice,Clay,10.07,20.0,15453872.76,71.09
Hyderabad,Wheat,Clay,19.9,40.0,18989192.55,34.55
Faisalabad,Maize,Clay,11.27,50.0,8406675.47,35.13
Sargodha,Rice,Loam,6.05,10.0,7765184.97,79.85
Sukkur,Rice,Clay,15.74,25.0,20350496.34,71.44
Bahawalpur,Rice,Clay,4.16,25.0,4195309.54,46.49
Multan,Rice,Loam,17.3,15.0,26064405.42,247.2
Bahawalpur,Sugarcane,Clay,6.54,40.0,7415440.75,50.57
Faisalabad,Rice,Sandy,4.33,50.0,9359017.26,39.23
Lahore,Rice,Clay,9.05,30.0,10859482.97,85.9
Multan,Sugarcane,Loam,3.34,30.0,5587366.94,26.55
Sargodha,Maize,Sandy,18.6,10.0,29264476.21,308.09
Bahawalpur,Cotton,Loam,15.7,7.5,16737273.08,634.18
Sargodha,Rice,Loam,11.23,10.0,18223727.74,207.02
Multan,Wheat,Clay,16.39,7.5,12892147.52,245.53
Lahore,Wheat,Sandy,18.64,25.0,27413720.3,253.41
Sargodha,Sugarcane,Clay,10.93,10.0,11031265.98,123.65
Bahawalpur,Cotton,Loam,7.55,7.5,11636729.93,440.79
Bahawalpur,Maize,Sandy,1.72,50.0,2926737.51,15.59
Sukkur,Sugarcane,Clay,17.59,20.0,22350361.72,105.45
Hyderabad,Maize,Loam,6.03,50.0,5086735.9,7.13
Bahawalpur,Cotton,Loam,4.39,40.0,4527972.11,30.86
Faisalabad,Maize,Sandy,19.53,40.0,30554655.91,156.82
Hyderabad,Rice,Loam,3.83,30.0,5205992.28,12.34
Sukkur,Maize,Sandy,14.44,30.0,23454461.42,73.39
Multan,Maize,Clay,7.31,25.0,5451176.87,29.93
Sukkur,Wheat,Clay,2.93,25.0,2540959.33,8.91
Multan,Cotton,Loam,4.8,25.0,5577627.48,31.6
Sukkur,Rice,Sandy,10.41,10.0,20746456.83,184.39
Sukkur,Sugarcane,Clay,14.46,10.0,18410694.38,165.49
Faisalabad,Maize,Clay,8.98,5.0,7790058.25,338.19
Faisalabad,Sugarcane,Loam,12.31,25.0,14671255.41,128.97
Sargodha,Sugarcane,Clay,15.83,5.0,15428077.67,351.28
Hyderabad,Cotton,Loam,2.1,7.5,1500857.94,14.26
Bahawalpur,Maize,Loam,8.1,25.0,7288297.58,81.75
Bahawalpur,Rice,Loam,13.65,40.0,18677889.03,120.39
Hyderabad,Cotton,Sandy,16.84,7.5,26045104.95,256.16
Lahore,Rice,Sandy,14.08,25.0,33163188.9,297.51
Sukkur,Rice,Clay,8.21,15.0,11793673.3,70.39
Bahawalpur,Maize,Sandy,18.58,10.0,26163840.6,698.47
Multan,Maize,Clay,13.31,50.0,10749526.4,32.43
Hyderabad,Cotton,Clay,12.72,25.0,10171338.95,28.06
Lahore,Cotton,Clay,5.23,15.0,3565084.91,55.79
Hyderabad,Rice,Clay,2.6,50.0,3527151.69,5.24
Bahawalpur,Cotton,Clay,16.82,30.0,16681303.46,153.62
Multan,Sugarcane,Clay,11.36,15.0,16232084.58,160.61
Lahore,Rice,Sandy,5.48,20.0,11214696.61,137.62
Hyderabad,Cotton,Clay,2.09,40.0,2163615.94,3.86
Hyderabad,Sugarcane,Loam,17.28,10.0,23867220.35,180.94
Hyderabad,Rice,Loam,19.37,25.0,29822297.03,89.46
Lahore,Wheat,Clay,18.03,40.0,15504092.1,86.95
Faisalabad,Sugarcane,Sandy,13.79,5.0,23791651.68,1037.04
Multan,Cotton,Sandy,4.01,10.0,8222094.81,120.4
Bahawalpur,Wheat,Clay,9.38,10.0,9962886.39,272.29
Sargodha,Wheat,Clay,18.06,50.0,17692423.33,36.72
Sargodha,Cotton,Sandy,14.03,10.0,19263614.68,218.97
Faisalabad,Cotton,Loam,5.39,7.5,5703087.5,169.18
Lahore,Sugarcane,Loam,17.72,50.0,21938028.32,103.02
Lahore,Rice,Loam,16.32,30.0,24050317.06,179.26
Sukkur,Wheat,Clay,16.56,30.0,14914288.72,44.68
Faisalabad,Cotton,Sandy,6.06,25.0,10223628.19,87.68
Multan,Cotton,Sandy,3.62,15.0,6128591.75,61.96
Lahore,Rice,Clay,12.56,50.0,15187843.73,74.92
Bahawalpur,Cotton,Sandy,10.63,5.0,13534657.18,706.67
Hyderabad,Sugarcane,Sandy,18.8,5.0,31900635.17,473.3
Hyderabad,Maize,Loam,11.23,15.0,11176167.27,53.67
Hyderabad,Maize,Sandy,5.79,7.5,8635366.39,85.71
Sargodha,Sugarcane,Loam,13.79,25.0,19012573.89,83.03
Sargodha,Wheat,Sandy,14.18,20.0,25754358.34,135.99
Sukkur,Maize,Loam,4.49,40.0,3652645.2,8.37
Bahawalpur,Cotton,Clay,5.2,7.5,2977278.71,109.52
Multan,Maize,Clay,17.81,20.0,14097263.72,101.55
Sukkur,Wheat,Clay,2.03,40.0,1693649.61,3.79
Bahawalpur,Wheat,Loam,9.72,10.0,8185385.51,211.99
Hyderabad,Rice,Loam,8.59,10.0,10591555.6,78.41
Bahawalpur,Rice,Sandy,11.42,30.0,24316658.62,228.12
Multan,Sugarcane,Clay,11.67,40.0,8904602.4,30.63
Multan,Wheat,Sandy,1.39,5.0,2303527.55,65.38
Lahore,Wheat,Sandy,15.83,20.0,18145011.11,211.88
Hyderabad,Maize,Clay,18.31,40.0,17580288.92,30.25
Sukkur,Rice,Sandy,11.83,20.0,21248681.5,96.37
Sargodha,Wheat,Loam,9.68,40.0,10774677.89,29.05
Hyderabad,Rice,Loam,12.52,25.0,16416914.36,46.83
Sukkur,Wheat,Clay,9.66,15.0,6912305.36,41.23
Multan,Cotton,Clay,15.48,5.0,17017503.64,506.09
Sukkur,Sugarcane,Sandy,6.52,40.0,11584813.13,25.85
Bahawalpur,Maize,Sandy,5.45,30.0,7781492.69,71.74
Multan,Cotton,Clay,13.48,30.0,15715264.22,79.08
Hyderabad,Cotton,Sandy,16.05,15.0,28079724.31,140.01
Sukkur,Maize,Loam,12.82,10.0,12653946.97,109.56
Bahawalpur,Rice,Sandy,14.16,30.0,23965306.76,207.75
Lahore,Cotton,Sandy,12.02,40.0,22834377.08,126.99
Bahawalpur,Rice,Sandy,18.56,20.0,29248500.98,406.16
Bahawalpur,Rice,Sandy,12.94,20.0,28157686.39,366.86
Multan,Rice,Clay,4.0,30.0,4240140.48,20.34
Sukkur,Cotton,Loam,7.34,40.0,6977133.04,15.39
Multan,Rice,Clay,8.01,7.5,6875947.88,128.73
Sukkur,Maize,Loam,12.26,50.0,9016316.67,15.64
Bahawalpur,Wheat,Loam,6.37,7.5,7068324.35,263.51
Bahawalpur,Sugarcane,Sandy,19.2,25.0,24826431.04,256.67
Sargodha,Sugarcane,Loam,6.67,7.5,7951013.23,113.76
Bahawalpur,Sugarcane,Loam,6.53,5.0,8610759.19,457.18
Multan,Maize,Clay,4.87,50.0,4604713.09,13.81
Bahawalpur,Rice,Clay,19.53,10.0,24351685.18,656.62
Faisalabad,Sugarcane,Clay,16.86,50.0,14155959.38,64.28
Sukkur,Sugarcane,Sandy,11.57,10.0,20995161.22,196.86
Bahawalpur,Rice,Loam,18.05,10.0,24319265.54,660.3
Hyderabad,Sugarcane,Loam,5.1,15.0,6655868.85,33.55
Hyderabad,Rice,Clay,16.36,50.0,15435640.87,22.4
Hyderabad,Sugarcane,Clay,14.72,20.0,14866837.27,52.14
Bahawalpur,Cotton,Clay,15.05,25.0,11198141.56,115.8
Sukkur,Wheat,Loam,13.35,20.0,13943365.12,63.0
Bahawalpur,Maize,Loam,19.61,50.0,20944093.42,109.74
Hyderabad,Maize,Sandy,9.05,25.0,14045549.87,40.1
Bahawalpur,Wheat,Sandy,17.41,25.0,26101191.54,279.68
Hyderabad,Rice,Clay,3.5,40.0,4324668.17,8.05
Hyderabad,Cotton,Clay,19.1,50.0,19602252.93,27.38
Sargodha,Rice,Loam,19.18,15.0,27562044.22,197.02
Sukkur,Maize,Clay,18.23,50.0,9226471.69,16.68
Lahore,Sugarcane,Sandy,13.86,20.0,24442435.15,286.65
Hyderabad,Cotton,Sandy,15.12,30.0,24991455.45,62.34
Bahawalpur,Cotton,Loam,17.86,50.0,19342083.28,99.93
Hyderabad,Sugarcane,Clay,7.22,25.0,9093347.61,25.88
Bahawalpur,Wheat,Sandy,10.37,20.0,16981978.91,232.49
Sukkur,Cotton,Clay,18.55,40.0,12556701.91,29.39
Bahawalpur,Sugarcane,Sandy,13.66,7.5,28233619.77,980.71
Sargodha,Sugarcane,Clay,18.25,30.0,25755673.73,91.29
Hyderabad,Sugarcane,Loam,3.49,10.0,5035731.28,35.41
Sargodha,Rice,Sandy,5.55,7.5,10653243.17,161.45
Bahawalpur,Sugarcane,Loam,19.84,5.0,23542505.72,1304.22
Multan,Maize,Clay,10.66,10.0,10306942.95,142.29
Sukkur,Wheat,Clay,14.0,15.0,13284268.82,78.38
Lahore,Cotton,Loam,3.41,30.0,3685136.03,28.73
Multan,Wheat,Sandy,19.92,15.0,30143114.04,283.11
Sukkur,Sugarcane,Sandy,11.98,10.0,21150299.07,197.22
Hyderabad,Sugarcane,Sandy,12.51,30.0,21241772.67,49.96
Lahore,Maize,Loam,4.88,10.0,4383562.51,97.87
Sargodha,Rice,Sandy,13.15,10.0,30123531.2,312.8
Sargodha,Cotton,Loam,1.13,5.0,1351855.29,28.21
Hyderabad,Sugarcane,Clay,14.86,15.0,17671395.63,83.6
Multan,Sugarcane,Sandy,3.42,10.0,5203441.47,78.21
Sargodha,Wheat,Clay,4.77,10.0,4616538.29,52.06
Sukkur,Rice,Loam,13.8,40.0,18006858.45,40.41
Bahawalpur,Maize,Loam,17.22,25.0,14696507.81,156.54
Multan,Maize,Sandy,18.34,25.0,22364121.27,133.11
Faisalabad,Maize,Clay,1.81,40.0,1502290.54,8.38
Multan,Maize,Sandy,14.52,40.0,17734448.47,65.86
Bahawalpur,Maize,Loam,9.63,10.0,7818231.12,212.39
Lahore,Rice,Loam,7.4,20.0,12091263.71,142.61
Hyderabad,Sugarcane,Clay,17.48,7.5,18337005.85,171.85
Hyderabad,Maize,Sandy,12.52,7.5,15940296.85,147.01
Lahore,Cotton,Loam,9.49,10.0,11077074.84,249.28
Sukkur,Maize,Clay,4.29,40.0,3398542.86,7.85
Bahawalpur,Maize,Clay,16.69,15.0,10748276.7,187.39
Bahawalpur,Maize,Sandy,16.05,40.0,20334133.67,135.89
Sukkur,Cotton,Loam,19.43,7.5,17351235.69,201.2
Lahore,Wheat,Loam,2.68,15.0,3511305.76,56.8
Bahawalpur,Sugarcane,Sandy,4.24,40.0,7310769.84,50.5
Hyderabad,Maize,Loam,16.28,20.0,16388443.49,59.85
Sargodha,Cotton,Clay,14.0,15.0,12655751.19,90.54
Sargodha,Cotton,Sandy,1.8,40.0,2750933.5,7.24
Lahore,Wheat,Sandy,6.5,7.5,9852934.9,312.47
Multan,Sugarcane,Clay,2.06,50.0,2025437.28,6.04
Sukkur,Sugarcane,Sandy,3.05,7.5,6203780.85,75.63
Faisalabad,Maize,Sandy,9.55,15.0,14827065.37,219.42
Hyderabad,Sugarcane,Loam,11.44,30.0,16030277.59,39.44
Hyderabad,Maize,Clay,1.99,15.0,1603133.91,7.42
Multan,Wheat,Sandy,11.09,20.0,21399130.07,154.95
Sargodha,Maize,Sandy,5.38,40.0,6882420.55,19.0
Faisalabad,Maize,Loam,19.94,25.0,22879133.61,193.41
Multan,Wheat,Clay,19.44,20.0,20811382.47,144.6
Lahore,Sugarcane,Sandy,7.77,30.0,16282805.89,132.79
Sargodha,Sugarcane,Clay,12.22,50.0,12013122.72,24.97
Sukkur,Wheat,Sandy,5.03,15.0,7266584.78,45.2
Faisalabad,Maize,Loam,15.75,20.0,16416491.7,172.06
Sargodha,Cotton,Sandy,7.74,40.0,12730129.34,33.55
Faisalabad,Rice,Clay,15.36,30.0,17341189.34,118.67
Hyderabad,Maize,Clay,19.41,30.0,14240390.83,33.8
Bahawalpur,Sugarcane,Loam,18.56,50.0,14913810.91,79.87
Sukkur,Rice,Sandy,12.95,5.0,20888678.41,379.87
